SKU,nom,effets,poids,vertus,composition,utilisation,prix,codebarre,nomchinois,couleur,bio,brand,lot,icon,Bio id,Lien Amazon ,Lien Temu,Lien Images
AHQS,Racines d'Astragale,IMMUNITÉ & ADAPTOGÈNE,100 g,"Adaptogène naturel et anti-oxydant, soutient l'immunité et la vitalité.","Astragale Racines (Huang qi, Astragalus membranaceus) 100 g, d'origine chinoise, qualité supérieure.","Servir en tisane à infuser ou à décocter, ou à ajouter lors de la cuisson mijotée de la viande. 5 à 10 g par jour.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728392500/3665346130414_Huang_Qi_Sheng_Astragale_100g_e3514c6cbf.png,黄芪,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,127525A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXG2W9SG,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603350527539775&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777458444276_lg9etzavpw&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=33&folderPath=/24/27
AGQZ,Baies de Goji premium,ANTIOXYDANT DÉTOXIFIANT,200 g,"Surnommé « fruit de la jeunesse éternelle », il est antioxydant, détoxifiant et renforce la vitalité.","Baies de Goji (Gou qi zi, Lycium barbarum) 200 g, d'origine chinoise, qualité pharmacopée.","À consommer en fruit sec, à infuser en tisane, ou à cuire dans une soupe. Les baies de goji ont un goût légèrement sucré avec une note subtilement acidulée.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728390605/3665346185018_Baies_de_Goji_gou_qi_zi_200g_dec6472c61.png,枸杞子,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,185025A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GPFWGJB6,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604187995792204&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=43&folderPath=/24/37
AYYR,Larmes de Job,DRAINEUR,300 g,"Aide au confort urinaire, draine les excès d'eau et rend la peau éclatante.","Larmes de job (Yi yi ren, Coix lacryma-jobi) 300 g, d'origine chinoise, qualité pharmacopée.","Placer 30 à 50 g de graines dans 500 mL d’eau, laisser macérer 20 minutes, porter à ébullition et cuire jusqu’à ramollissement. Consommer toute la soupe.",7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728392200/3665346185629_Yi_Yi_Ren_Chao_Larmes_de_Job_jobi_300g_e14c3f596b.png,薏苡仁,#C47F5E,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,169225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GY4XCSTK,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604125718755445&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=36&folderPath=/24/30
ACP,Peau de mandarine,CONFORT RESPIRATOIRE,100 g,Libère les voies respiratoires et donne du tonus à l'organisme.,"Peau de Mandarine (Chen pi, Citrus reticulata) 100 g, d'origine chinoise, qualité pharmacopée.","Ajouter 10 g de peau à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",9.70,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728391666/3665346110232_Chen_Pi_Mandarine_100g_b4780c6dc3.png,陈皮,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,110225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXFXC21N,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603762794024583&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=160&folderPath=/24/150
AJHUA,Camomille Chinoise,CONFORT OCULAIRE,100 g,Adoucit la gorge et apaise les yeux sensibles et fatigués.,"Camomille chinoise (Ju hua (hang), Chrysanthellum indicum) 100 g, d'origine chinoise, qualité pharmacopée.",Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728391583/3665346185551_Chrysantheme_hang_Ju_Hua_han_100_G_5b1d032902.png,杭菊花,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,135425A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXFXFX4X,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603854062092765&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=157&folderPath=/24/147
ADZ,Fruits de Jujube,TONIFIER LE SANG,100 g,"Excellente qualité gustative, tonifie le sang et aide à mieux vivre les règles.","Fruits de jujube (Da zao, Ziziphus jujuba) 100 g, d'origine chinoise, qualité pharmacopée.","À consommer en fruit sec, à infuser en tisane, ou à cuire dans une soupe ou avec du riz. Le jujube offre un goût agréablement sucré et une texture moelleuse.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728392914/3665346114636_Da_Zao_Grande_jujube_100g_76d2bed165.png,大枣,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,114625A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GPFQCJG2,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604097801496105&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=31&folderPath=/24/25
ADS,Ginseng Impérial,TONUS ET ANTI-FATIGUE,100 g,"- Donne du tonus à l'organisme <br/>
- Réduit la fatigue <br/>
- Contribue à la santé des séniors","Ginseng impérial (Dang shen, Codonopsis pilosula) 100 g, d'origine chinoise, qualité pharmacopée.","
Placer 10-15 g de racines dans 500 mL d’eau. Macérer 10 minutes, porter à ébullition et laisser mijoter 20 minutes avant de servir.
",10.70,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730363634/3665346115817_Dang_Shen_Ginseng_imp_rial_Codonopsis_pilosula_302f96a3f6.png,党参,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,115825A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603505146317941&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777554528105_q1d8xbkz2s&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=158&folderPath=/24/148
BSMT,"Boisson à base de prunes chinoises - Suan mei tang
",DIGESTION ET BOISSON D'ÉTÉ,50 g,"- Contribue à une bonne digestion<br/>
- Clarifie la Chaleur<br/>
- Apaise la soif","Prune (Wu mei, Prunus mume), Fruits d’Aubépine (Shan zha, Crataegus laevigata), Peau de Mandarine (Chen pi, Citrus reticulata), Réglisse (Gan cao, Glycyrrhiza uralensis), Olivier odorant (Gui hua, Osmanthus fragrantis).","Placer les plantes dans 500 mL d’eau, porter à ébullition et laisser cuire pendant 10 minutes. Filtrer les plantes et mettre de côté le jus de décoction. Répéter deux fois l’opération en utilisant les mêmes plantes, verser les trois jus obtenus dans un même récipient, ajouter du sucre ou du miel.",5.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730386961/3665346394717_Suan_mei_tang_50_PS_a1ad1565ce.png ,酸梅汤,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,court,94725A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GY4V5L7Q,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604133234990142&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=35&folderPath=/24/29
OPASS,Passiflore Partie Aerienne Coupée bio,SOMMEIL ET STRESS,80 g,"- Facilite l'endormissement
<br/>- Améliore la qualité du sommeil
<br/>- Chasse la nervosité",Passiflore partie aérienne coupée (Passiflora incarnata) 80 g.,"Ajouter 10 g de plantes à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",8.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1731671462/3665346147917_Passiflore_PA_Xi_fan_lian_Passiflora_incarnata_100g_09de374064.png,,#454760,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_ue_720_b94313ca55.png,long,147925A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio UE,https://www.amazon.fr/dp/B0GYS1QRYT,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603862652025038&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=147&folderPath=/24/137
OSAUG,Sauge Officinale Feuille Coupée bio,MÉNOPAUSE,50 g,"- Contribue à réguler le cycle<br/>
- Accompagne la transition vers la ménopause<br/>
- Soulage les inconforts ménopausiques",Sauge officinale feuille coupée (Salvia officinalis) 50 g.,Prendre 15 g de feuilles et ajouter 500 mL d’eau. Laisser macérer 10 minutes puis bouillir pendant 5 minutes à grand feu avant de servir.,7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1744291978/3665346155011_Sauge_Shu_Wei_Cao_Salvia_officinalis_c9a47222c8.png,,#D97A8C,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_non_ue_720_7c8be4c53a.png,long,155025A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio Non UE,https://www.amazon.fr/dp/B0GXFXR4KL,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603836882221227&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=146&folderPath=/24/136
